lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
odpovedal,ADP,895,0,895,8,619
sah,ADP,893,38,39,71,73
aquella,DET,879,39,40,77,78
northeastern,DET,865,64,133,202,263
ackn,ADP,856,0,5,21,53
andersoni,CONJ,854,124,338,222,312
lear,CONJ,851,33,33,142,144
decipher,ADP,849,32,32,103,103
intercarrier,ADP,849,0,115,75,164
atriopeptin,ADP,822,0,57,32,164
antennae,DET,820,276,279,267,270
betuixt,ADP,819,73,74,129,129
optimizer,ADP,816,0,264,82,282
avlede,ADP,799,0,799,7,564
xviii,CONJ,788,48,54,111,120
ook,PRT,769,20,20,44,44
ononononon,ADP,761,0,14,18,197
formosanus,ADP,745,35,97,111,175
bevacizumab,ADP,744,0,446,31,405
allallallall,DET,741,0,1,17,206
intranuclear,ADP,739,41,71,146,220
tablespoon,DET,735,9,47,99,167
trichome,DET,730,8,41,116,173
autophagosome,DET,727,0,5,25,102
lln,ADP,715,90,90,154,155
diphenyl,DET,712,63,226,181,266
mauza,DET,710,61,96,102,148
ako,ADP,707,10,10,21,21
youyouyouyouyou,PRON,699,0,7,16,178
quinine,PRON,696,165,176,223,246
waterproof,ADP,694,206,228,227,246
histolytica,DET,692,13,131,111,210
folder,ADP,676,13,40,59,98
bestknown,ADP,668,82,104,144,165
forges,ADP,659,58,58,119,120
lter,ADP,657,30,31,58,58
radius,PRT,653,73,75,169,174
shoulda,PRON,650,0,33,55,120
interprocessor,ADP,650,0,125,59,220
tolerant,PRT,650,11,13,105,112
elytra,DET,650,263,272,222,229
atif,ADP,641,9,9,24,25
onononon,ADP,640,0,3,15,135
anserinus,CONJ,639,15,15,83,84
oxybutynin,ADP,637,0,192,57,240
linearlayout,ADP,632,0,340,18,338
lve,PRON,626,6,6,23,24
ossbauer,ADP,625,0,7,25,93
smartphone,PRON,616,0,28,16,147
agoraphobia,DET,610,5,7,71,105
frontispiece,ADP,607,170,170,156,159
subgenus,CONJ,606,69,82,152,167
workfor,ADP,604,24,24,80,81
thermospray,DET,602,0,93,47,154
haiku,DET,595,0,104,100,188
oflater,ADP,585,6,6,29,31
forgo,ADP,580,42,42,106,107
sae,PRON,578,19,20,28,29
blackout,ADP,572,0,178,75,178
ichthyoplankton,ADP,568,0,69,48,150
defenseman,ADP,560,0,54,43,126
boro,DET,557,70,72,139,140
appl,DET,556,20,20,50,51
estern,ADP,556,32,41,78,88
localhost,ADP,555,0,122,26,192
bybybybyby,ADP,551,0,13,13,138
clickthe,DET,550,0,74,18,155
brainwave,DET,548,0,80,46,121
unith,ADP,545,15,17,76,77
avr,ADP,541,8,8,36,37
fromfromfromfrom,ADP,538,0,4,12,175
tomo,PRT,530,85,87,115,116
artesian,DET,527,143,160,156,179
andandand,CONJ,513,0,233,24,216
lotsa,DET,500,0,59,65,134
ankara,DET,491,12,18,46,58
q,DET,487,27,27,90,91
intercomparison,ADP,485,1,26,48,92
tento,PRT,472,6,6,13,13
becauae,ADP,471,14,16,51,54
systeme,DET,470,53,55,105,109
bewus,ADP,467,0,4,15,51
asasasas,ADP,460,0,5,10,148
miabut,CONJ,456,0,456,4,314
skywave,DET,455,0,142,69,174
froe,ADP,455,13,13,45,45
upang,ADP,452,0,3,5,23
stigmas,ADP,451,162,163,174,176
katawohan,ADP,448,0,448,4,341
relatif,ADP,441,31,31,79,79
ofover,ADP,441,15,20,39,45
theorbo,DET,438,17,17,64,64
anananan,DET,429,0,18,9,150
undher,ADP,424,39,45,54,60
thatthatthatthatthat,DET,423,0,2,9,107
thiocarbonyl,DET,422,23,67,89,134
kwacha,ADP,420,0,20,16,65
thermosensitive,DET,416,0,51,61,123
thyme,PRON,416,16,17,52,53
abatacept,ADP,415,0,263,16,222
betwean,ADP,414,26,26,44,44
sleeplessness,CONJ,400,68,78,90,97
tendto,PRT,397,8,9,23,23
atazanavir,CONJ,397,0,238,18,224
antiferromagnet,CONJ,397,0,112,44,142
mesilf,PRON,396,18,24,43,54
meristem,PRON,396,20,33,88,130
italiane,PRON,394,32,50,74,99
mymymymymy,PRON,392,0,2,9,99
stilla,DET,390,12,12,44,44
lieuthereof,ADP,386,19,22,48,50
svojho,ADP,385,0,385,4,316
autophagy,DET,384,0,6,15,66
inkblot,ADP,384,0,76,41,98
musculus,CONJ,384,25,25,81,83
overslept,ADP,384,40,41,57,58
iffor,ADP,383,8,8,28,29
allegro,DET,379,55,56,112,113
uncut,ADP,378,142,144,136,138
aya,DET,373,37,38,81,82
albuterol,DET,372,0,204,41,189
ofsimilar,ADP,371,7,7,26,27
oforder,ADP,370,10,10,28,29
whatcha,ADP,369,0,9,25,50
angustus,CONJ,368,51,57,83,86
amoxycillin,ADP,368,0,171,44,176
usas,ADP,367,6,6,37,37
thereto,PRON,363,97,97,107,107
ofeu,ADP,363,0,85,15,107
allover,DET,363,54,55,86,87
miniskirt,PRON,357,0,56,27,103
aftern,ADP,356,9,9,17,17
offive,ADP,355,7,7,42,42
bazooka,DET,354,0,130,57,141
afther,DET,351,64,73,91,101
antiguerrilla,DET,349,0,116,46,122
circumcision,CONJ,349,11,11,37,37
intravenous,ADP,348,30,64,79,117
foramina,ADP,348,81,88,95,97
autoshape,DET,348,0,92,16,147
miscellaneous,PRON,347,178,183,164,170
unicolor,ADP,347,157,182,130,142
plerixafor,ADP,346,0,130,9,148
thous,PRON,345,14,14,39,39
playfulness,CONJ,345,16,16,46,46
onych,ADP,343,0,5,5,31
airway,ADP,342,4,11,35,59
asialo,DET,341,0,82,26,113
illusory,PRON,341,51,51,88,89
terramycin,ADP,340,0,16,18,44
vntil,ADP,339,15,15,20,20
angioma,DET,339,87,119,85,121
ofchapter,ADP,338,5,10,23,28
antitoxin,ADP,337,24,34,29,50
sotto,ADP,336,39,41,62,64
ziprasidone,PRON,336,0,138,22,150
formwork,ADP,335,0,72,46,89
vlfith,ADP,335,2,4,30,35
nangasa,DET,334,0,334,3,273
orderliness,CONJ,333,99,131,105,132
photonuclear,ADP,332,0,30,23,70
abin,ADP,332,11,12,17,18
aazpa,DET,331,0,6,15,59
albigula,DET,331,44,63,50,70
formycin,ADP,330,0,71,29,105
shopkeeper,ADP,330,22,22,34,34
anaesthesia,DET,329,34,54,61,77
autrefois,DET,328,95,96,108,110
isospin,ADP,327,0,175,56,181
ogdinst,ADP,327,0,16,35,85
thallium,DET,325,29,52,72,99
ystem,PRON,324,26,26,66,66
demeanor,ADP,324,21,21,47,48
izabeth,ADP,323,18,19,43,45
mycorrhiza,DET,321,3,34,49,87
fr,CONJ,321,10,11,26,26
toincrease,PRT,321,23,24,37,37
smartart,DET,320,0,123,12,144
iodine,PRON,319,153,157,137,144
deh,ADP,319,15,15,45,47
orthern,CONJ,319,125,125,125,125
alprenolol,DET,318,0,88,27,115
adenocarcinoma,DET,314,2,26,39,69
burnup,ADP,314,0,129,37,110
atalh,ADP,314,0,9,7,123
involvedin,ADP,313,12,12,35,35
saieth,ADP,313,30,31,46,46
webapp,PRT,312,0,98,11,134
saveitas,ADP,311,0,99,7,121
anaphylaxis,DET,308,5,26,31,60
ipad,PRT,307,0,239,9,207
bedarf,ADP,306,1,4,6,10
threephase,ADP,305,57,90,63,105
napa,DET,305,5,6,28,32
worthwhile,PRON,303,0,68,43,91
imeni,ADP,303,0,40,23,63
fourcharacter,ADP,302,0,24,13,60
goodfor,ADP,301,5,5,18,18
permeameter,ADP,299,7,56,48,83
ofcourse,PRON,297,8,8,25,25
novobiocin,ADP,296,0,116,40,124
youryouryouryour,PRON,296,0,4,6,80
nosql,DET,296,0,141,6,146
angiomata,DET,295,46,55,52,75
ageyn,ADP,295,39,39,51,51
itartass,PRON,295,0,11,7,57
bellus,ADP,293,42,42,49,49
forthese,ADP,293,11,11,40,40
kexin,ADP,292,0,18,8,69
adrenochrome,DET,292,0,62,33,86
xvi,PRON,291,17,17,32,32
inornatus,ADP,290,86,101,82,103
kiva,DET,289,31,85,57,95
plankton,PRT,289,21,93,68,113
yougov,PRON,289,0,93,10,111
noir,DET,288,7,7,33,33
safranin,ADP,286,32,60,40,63
euromoney,DET,286,0,74,24,96
acetaminophen,CONJ,283,0,190,38,153
lightpath,ADP,283,0,6,11,38
willebrand,CONJ,282,0,13,15,65
alkylphenol,DET,281,0,69,35,97
thermocline,DET,281,0,107,48,120
pean,ADP,280,14,14,49,49
sage,ADP,280,13,13,44,44
amelogenin,ADP,280,0,103,23,103
youlou,PRON,279,0,64,27,88
theologica,DET,279,19,20,50,51
vetiver,DET,279,8,26,38,65
antipersonnel,DET,279,0,117,39,106
lipocortin,ADP,279,0,47,12,76
foredeep,ADP,279,0,64,40,81
quantile,ADP,279,0,85,29,98
offif,ADP,276,6,6,28,28
miniband,CONJ,276,0,124,27,130
urotensin,ADP,276,0,91,22,96
anyconnect,DET,276,0,96,7,137
starlit,DET,274,43,45,48,55
itraconazole,PRON,274,0,175,25,146
highbrow,DET,274,2,34,33,64
mdct,PRON,273,0,14,11,75
aquafaba,DET,273,0,125,2,138
benzonitrile,ADP,272,15,20,60,74
boson,PRT,272,0,73,25,85
unter,DET,272,7,8,14,15
silf,ADP,271,12,12,20,21
aunique,DET,271,3,7,24,29
ajax,DET,270,7,11,18,26
witamin,ADP,270,0,47,33,73
oxcarbazepine,PRON,269,0,31,18,103
newsmen,DET,269,0,40,30,75
amin,ADP,269,51,52,75,76
alx,ADP,268,49,53,65,67
nama,DET,268,20,21,56,57
tiltmeter,ADP,268,0,49,29,71
amoeba,DET,268,45,72,66,93
weshow,ADP,268,0,3,6,27
triphenyl,DET,267,24,100,69,104
theophrasti,DET,267,2,20,33,65
latrunculin,ADP,266,0,65,16,96
youmre,PRON,266,0,133,5,125
vivax,ADP,265,2,57,36,67
berghei,ADP,264,0,104,40,122
allsoe,DET,263,61,64,66,67
oledbcommand,CONJ,262,0,56,8,94
irroratus,ADP,262,21,30,33,44
tamsulosin,ADP,260,0,103,12,108
napasa,DET,260,0,260,2,197
ororororor,CONJ,260,0,13,6,71
anhydro,DET,260,17,52,57,80
whipplei,ADP,260,4,8,17,25
selflessness,CONJ,259,3,40,39,63
sinmun,ADP,258,0,19,12,45
anoikis,DET,257,0,162,18,151
ogn,ADP,257,5,6,26,29
thiophenol,DET,257,11,32,56,79
pegivirus,ADP,257,0,192,1,192
shatter,ADP,256,29,30,52,53
xvn,ADP,256,55,57,61,64
backseat,DET,255,0,39,38,77
understandingof,ADP,255,7,8,21,22
anthracinus,CONJ,255,32,44,64,72
nematodes,CONJ,254,11,48,56,90
insan,ADP,254,8,9,20,21
uppercut,PRT,253,6,16,21,39
adenoma,DET,253,6,10,34,51
toprotect,PRT,253,21,21,38,38
enterthe,DET,252,10,10,25,25
peneplain,ADP,251,49,104,65,105
italicum,PRON,250,55,56,78,79
offair,ADP,250,3,3,21,21
outnumber,PRT,249,31,33,62,68
cept,PRON,249,23,24,41,42
evergreen,ADP,249,44,44,66,67
insecticide,ADP,249,25,67,60,96
restlessness,CONJ,248,55,55,65,66
allenyl,DET,247,0,82,26,90
metasternum,PRON,247,80,110,81,104
rainfall,PRT,246,39,55,69,95
lienholder,ADP,246,10,16,29,44
befell,ADP,246,86,86,93,93
typename,DET,245,0,87,12,90
nongame,DET,245,9,32,33,58
theissue,DET,244,25,26,45,45
forninst,ADP,243,14,17,29,33
mbsf,ADP,242,0,34,11,73
intergrown,ADP,241,63,106,80,112
beijerinckii,ADP,241,1,7,22,45
initialize,ADP,241,0,64,12,79
asseblief,ADP,240,0,10,9,30
ananananan,DET,240,0,35,5,68
obor,ADP,240,4,5,12,13
tourmaline,PRON,238,101,102,93,94
stressor,ADP,238,0,79,29,90
ancora,DET,237,5,5,14,15
littlebrown,ADP,237,0,36,10,90
wikileaks,ADP,237,0,151,7,126
atabase,ADP,236,0,47,14,62
udith,ADP,236,19,20,42,43
antiglaucoma,DET,235,0,69,31,96
beamwidth,ADP,234,0,181,51,147
angustata,DET,232,110,112,95,98
follitropin,ADP,232,0,107,24,106
anlbz,DET,232,0,92,6,115
peso,PRT,230,5,10,13,20
strategiesfor,ADP,230,0,9,8,44
halfof,DET,230,11,12,26,27
desarrollo,ADP,230,0,117,39,89
intercompany,ADP,230,0,33,34,65
millirem,PRON,229,0,47,17,58
amygdalin,ADP,228,23,27,38,45
downthrown,ADP,226,14,36,45,77
anama,DET,226,15,26,24,31
init,PRT,225,5,5,21,21
olitan,ADP,224,34,38,55,61
zonellus,ADP,223,0,19,24,55
nicardipine,PRON,223,0,117,21,110
benthamiana,ADP,222,0,14,20,57
thinprep,DET,222,0,106,14,99
ito,PRT,222,32,32,38,38
powerfor,ADP,221,17,17,36,36
firr,ADP,220,6,6,23,24
anticrime,DET,220,0,99,34,78
algaroba,DET,219,24,25,38,42
upholds,ADP,218,22,26,45,48
thermosyphon,DET,218,10,28,28,51
loike,ADP,216,20,21,39,43
xylem,PRON,216,22,39,45,71
ossificans,ADP,216,4,14,27,44
astrovirus,ADP,216,0,35,12,59
ghrelin,CONJ,216,0,109,10,113
mirv,PRON,216,0,22,11,44
kinship,ADP,216,4,20,33,52
awaharlal,ADP,216,0,17,11,30
singlephase,ADP,215,54,93,56,95
iunknown,ADP,215,0,31,8,50
openin,ADP,215,46,47,55,56
nkjv,ADP,213,0,80,12,84
intragroup,ADP,213,0,62,31,73
ingroup,PRT,213,0,18,21,60
ontferm,ADP,213,0,2,2,49
gfor,ADP,213,14,15,31,32
metapneumovirus,CONJ,212,0,48,6,70
torula,DET,211,13,16,40,49
ter,DET,211,27,27,39,39
libros,ADP,211,9,9,32,33
apoptosome,DET,210,0,100,10,101
andp,CONJ,210,52,52,59,60
abez,ADP,210,9,10,35,37
ilson,ADP,210,29,30,36,38
tetrarca,DET,209,0,209,1,142
ifrss,PRON,209,0,155,10,119
atender,ADP,209,12,12,24,24
isoprenaline,PRON,208,0,25,18,58
aclacinomycin,ADP,208,0,37,12,60
attendees,ADP,208,0,78,24,83
peroxy,PRT,207,0,130,39,107
sdb,ADP,207,0,7,11,60
ueber,ADP,207,6,7,14,15
mailo,DET,206,2,5,28,39
adiponectin,ADP,206,0,101,8,101
tydskrif,ADP,206,0,47,21,56
followedby,ADP,205,8,8,21,21
deconstruct,PRT,205,0,77,18,87
angora,DET,205,40,77,55,78
isopenicillin,ADP,205,0,68,20,77
aneura,DET,204,2,19,28,49
tolto,PRT,204,9,9,15,15
allel,DET,203,56,57,66,67
fileadmin,ADP,203,0,67,5,86
afterheat,DET,203,0,31,13,43
decidedto,PRT,203,5,11,15,20
documentation,ADP,203,0,74,30,84
autosome,DET,202,0,34,26,50
anolyte,DET,202,3,61,34,62
apterae,DET,202,0,36,24,46
octroi,ADP,202,33,40,47,56
andthis,DET,201,9,10,17,17
alkylamino,DET,201,3,71,46,84
softcover,CONJ,201,0,123,26,94
majeure,PRON,200,7,25,24,36
argumenty,ADP,199,0,60,13,76
sharepoint,DET,199,0,72,7,80
preand,CONJ,198,16,16,47,48
theflow,DET,198,3,5,14,17
aspectof,ADP,198,10,10,23,23
alfuzosin,ADP,197,0,34,11,71
peroxidase,ADP,196,1,39,37,72
oda,ADP,196,12,12,25,25
lyricist,ADP,196,0,33,21,55
togetherthe,DET,196,6,6,15,15
zmiluj,ADP,196,0,195,1,135
qthe,DET,196,16,16,32,32
athryn,ADP,196,2,6,10,18
ornus,CONJ,195,31,32,49,49
androstanediol,DET,195,0,37,21,49
antilabor,CONJ,194,1,90,39,73
orthodoxy,PRT,193,22,22,40,41
phd,ADP,193,0,27,13,39
tilbede,ADP,193,0,0,1,59
wivout,ADP,193,5,7,11,16
anguage,DET,192,8,8,29,30
noncontrast,ADP,192,0,46,10,63
plugged,CONJ,192,25,36,42,49
aaronow,DET,192,0,8,6,37
ofselfin,ADP,191,0,4,7,35
duralumin,ADP,191,1,27,21,43
hydralazine,PRON,191,0,49,21,65
anorganische,DET,191,23,56,43,66
pendin,ADP,138,55,57,54,56
pepsin,CONJ,139,53,66,50,65
saws,ADP,117,51,51,54,54
anticus,ADP,136,50,50,53,54
regardin,ADP,166,48,49,57,57
profor,ADP,126,48,48,50,51
oommon,ADP,88,48,49,41,41
subthe,DET,84,48,48,44,45
incidentally,ADP,110,47,48,42,42
accumulative,PRON,115,46,48,43,45
affectin,ADP,143,46,47,53,54
emptor,CONJ,104,45,49,44,49
whder,ADP,160,45,45,51,51
transmit,ADP,134,45,46,47,49
wheras,ADP,174,44,45,59,60
urin,ADP,178,44,44,48,49
agitation,ADP,121,44,44,47,48
dishonest,CONJ,144,43,44,45,45
ampere,DET,98,43,59,37,59
providin,ADP,148,42,44,50,51
eign,CONJ,149,41,43,48,49
incapacity,ADP,133,40,42,46,46
bcause,ADP,175,40,41,52,52
anyl,DET,122,38,38,47,47
therof,PRT,120,38,38,41,42
incongruous,ADP,141,37,38,50,50
orin,ADP,187,37,38,55,55
notwithstandin,ADP,83,36,37,36,36
udson,ADP,150,36,36,39,41
enga,DET,146,35,35,43,44
somethe,DET,89,34,34,37,37
comthe,DET,66,34,34,34,34
upholsterer,ADP,146,33,34,41,41
beyn,ADP,116,33,33,36,37
tiro,ADP,57,33,33,30,31
oro,ADP,89,32,33,34,34
sandpaper,ADP,106,32,44,30,43
neater,ADP,121,32,32,37,37
petrol,ADP,102,32,54,31,54
antero,DET,83,31,35,27,33
abovo,DET,119,31,35,37,41
whilein,ADP,87,31,32,32,32
overrun,ADP,122,31,31,41,42
feror,ADP,65,31,31,29,30
zigzag,PRT,148,31,33,42,43
themse,PRON,56,30,30,27,27
pertainin,ADP,75,30,34,28,32
upl,ADP,143,30,30,44,44
inson,ADP,116,30,30,38,38
somewha,DET,98,30,30,33,33
burnt,PRON,93,29,29,32,32
forbye,ADP,153,29,29,36,36
oregonus,CONJ,127,29,41,33,43
attern,ADP,106,29,29,38,39
proto,PRT,60,29,29,26,26
exchan,ADP,167,29,30,40,41
thuya,DET,65,29,29,28,28
allthough,DET,156,28,28,36,36
onepiece,ADP,171,28,88,52,84
durthe,DET,72,28,28,27,27
oficer,ADP,119,28,28,31,31
integrifolia,ADP,89,27,28,29,30
aftr,ADP,95,27,28,34,34
insertin,ADP,171,27,28,38,39
althoug,ADP,56,27,27,26,26
hoff,PRT,127,27,28,34,36
into,PRT,62,27,27,25,26
pelf,PRON,68,27,27,29,30
assumin,ADP,57,27,27,25,26
trimethyl,DET,127,27,55,37,55
itle,ADP,137,26,27,37,37
oryzivorus,CONJ,138,26,31,38,43
withdraws,ADP,77,26,28,25,27
lc,ADP,102,26,26,31,31
thankless,PRON,83,26,26,29,29
wince,ADP,159,25,26,36,36
ealand,CONJ,82,25,26,31,32
facin,ADP,78,25,27,30,31
timet,DET,96,25,25,30,30
bubalus,CONJ,110,25,25,26,26
exfor,ADP,71,25,25,26,26
bb,CONJ,80,25,25,27,27
lithe,DET,98,24,25,27,27
arca,DET,165,24,25,42,43
appui,PRT,63,24,25,25,26
euch,ADP,189,24,24,23,23
selfe,PRON,152,24,24,35,36
trichina,DET,187,24,34,31,42
testamentary,PRT,93,24,24,26,27
overn,ADP,95,24,24,30,30
autopsy,DET,63,24,34,22,31
ustice,ADP,79,24,24,29,29
singlecylinder,ADP,88,24,33,25,34
siccan,ADP,126,24,26,28,30
discard,ADP,120,24,25,34,35
oficio,ADP,63,23,27,24,27
supthe,DET,46,23,24,23,23
aught,PRT,83,23,23,25,25
foetal,ADP,166,23,28,34,39
aloof,PRT,62,23,25,27,29
perto,ADP,96,23,23,25,25
anomalous,ADP,45,23,23,23,23
trict,PRT,55,23,23,22,23
ourn,ADP,99,23,23,28,28
prophesy,ADP,52,23,23,23,23
describin,ADP,148,22,23,31,31
oreign,PRT,78,22,23,28,29
urobilin,ADP,183,22,41,34,51
jr,CONJ,86,22,23,25,25
sap,ADP,73,22,23,27,27
neglecting,CONJ,53,22,22,23,23
albata,DET,85,22,25,23,28
ashtabula,DET,81,22,22,23,23
athin,ADP,126,22,22,28,29
erior,CONJ,119,22,26,31,33
wharf,PRT,91,22,24,24,27
sancto,ADP,105,22,22,30,30
legisla,DET,90,22,22,27,27
ameba,DET,101,22,38,24,40
yea,CONJ,78,22,22,24,25
indeede,ADP,80,21,22,24,24
undel,ADP,55,21,22,22,23
formol,ADP,182,21,65,46,76
fortieth,ADP,97,21,22,27,27
allmost,ADP,57,21,21,21,21
allopathic,DET,158,21,24,30,35
ited,PRON,49,21,21,21,21
olfer,ADP,91,21,21,28,28
threatenin,ADP,63,21,21,21,22
whee,PRON,60,21,22,23,24
underdrain,ADP,58,21,27,23,28
wtin,ADP,78,21,22,24,25
benzole,ADP,158,21,24,37,45
innin,ADP,85,21,21,27,27
obof,ADP,39,21,21,20,20
rapier,PRT,187,21,21,40,40
wheron,ADP,63,20,21,20,21
beeswax,CONJ,113,20,32,26,33
herein,DET,82,20,21,26,27
anchusa,DET,47,20,21,20,20
instituti,ADP,109,20,21,34,34
nind,CONJ,118,20,21,30,31
eiland,CONJ,128,20,25,25,29
aske,PRON,164,20,20,22,22
oris,CONJ,77,20,21,24,25
bewilderment,CONJ,152,20,25,28,33
abowte,ADP,98,20,20,24,24
aldehyde,DET,168,20,23,41,51
asinus,ADP,109,20,20,34,34
lat,DET,93,20,20,30,30
ommend,ADP,46,20,23,20,22
forreign,ADP,54,19,20,20,20
permittin,ADP,65,19,20,19,20
oke,PRT,43,19,19,18,18
brazen,CONJ,140,19,19,25,25
mesne,PRON,93,19,19,26,26
thyroid,PRT,174,19,54,36,59
anticipa,DET,64,19,19,22,22
thanne,ADP,94,19,20,24,25
belor,ADP,47,19,19,19,19
tenderfoot,DET,135,19,29,22,35
tghe,DET,58,19,19,21,21
certif,ADP,175,19,20,36,38
lington,ADP,50,19,20,19,20
altough,ADP,155,18,19,36,37
poplin,PRT,150,18,21,42,44
bccause,ADP,79,18,18,22,22
enand,CONJ,40,18,18,17,18
ditto,ADP,83,18,18,23,23
lllh,ADP,112,18,18,23,24
accompanyin,ADP,79,18,18,20,21
annexing,DET,47,18,18,19,19
uct,PRON,68,18,18,21,22
byond,ADP,102,18,18,25,25
throth,ADP,137,18,18,27,27
theffect,DET,104,18,18,21,21
metaphase,PRON,189,18,88,55,92
unth,ADP,102,18,18,20,20
attor,ADP,43,17,18,17,18
eyond,ADP,38,17,17,17,17
urer,ADP,71,17,19,20,22
onl,PRON,48,17,17,20,20
absolut,DET,52,17,17,19,20
accordthe,DET,29,17,17,17,17
arin,ADP,35,17,17,16,16
thirdclass,ADP,66,17,20,18,22
cerebri,ADP,72,17,18,24,24
oston,ADP,87,17,17,23,24
attache,DET,89,17,18,24,25
apto,PRT,31,17,17,16,17
outlaws,ADP,153,17,18,33,34
nml,ADP,69,17,17,21,21
anoe,DET,52,17,18,18,18
tharfor,ADP,132,17,17,23,23
ster,CONJ,62,17,17,19,19
towa,PRT,61,17,17,20,20
penalise,ADP,112,17,35,24,41
urther,PRT,63,17,17,20,20
alin,ADP,177,17,17,24,24
disof,ADP,36,17,17,17,17
flor,ADP,63,17,17,20,20
ammeter,ADP,40,17,24,15,23
landin,ADP,51,17,17,18,19
alizarin,DET,98,16,27,21,31
therfore,ADP,76,16,17,20,20
antagonistic,CONJ,89,16,21,22,27
luto,ADP,77,16,17,22,22
ture,ADP,89,16,17,21,21
utt,PRT,70,16,17,19,19
allegata,DET,80,16,17,21,21
deca,DET,65,16,17,20,20
froml,ADP,58,16,16,20,20
haemoglobin,CONJ,177,16,25,38,54
slacker,ADP,97,16,19,21,26
paidin,ADP,88,16,17,21,21
methane,PRON,148,16,26,34,54
ocus,ADP,140,16,21,28,34
thrombi,PRON,178,16,28,37,51
altogeather,DET,68,16,16,18,18
againe,DET,84,16,16,19,19
forbeare,ADP,57,16,16,19,19
throwin,ADP,63,16,16,15,15
satin,ADP,112,16,16,22,23
thix,DET,42,16,16,17,17
littorale,ADP,56,16,25,17,25
beforea,ADP,155,16,16,19,20
lu,PRT,47,16,16,18,18
paymentof,ADP,141,16,16,26,26
sadder,ADP,83,16,17,18,20
bekannter,ADP,82,16,20,20,23
arras,ADP,46,16,16,18,18
denounce,ADP,44,16,16,17,18
therat,DET,59,16,16,19,19
theea,DET,50,16,16,18,18
advisa,DET,89,16,16,19,19
incurr,ADP,39,16,16,16,16
overswept,ADP,65,16,18,19,21
wittie,ADP,43,15,16,16,16
hight,PRT,57,15,15,17,17
thairintill,DET,155,15,17,29,29
inimicus,ADP,35,15,15,15,15
eucalyptus,ADP,82,15,23,21,32
likc,ADP,48,15,15,16,16
voltmeter,ADP,75,15,34,21,34
equa,DET,52,15,15,16,16
iiii,ADP,51,15,15,19,19
itect,PRON,60,15,15,17,17
outhern,ADP,51,15,18,18,21
ambulacra,DET,97,15,17,19,21
doo,ADP,52,15,15,16,16
ow,DET,56,15,15,16,16
oud,ADP,57,15,15,15,16
oupon,ADP,135,15,15,19,19
withdrawin,ADP,48,15,15,17,18
taciturn,ADP,142,15,15,22,23
